SubmissionDate,start,end,Enumerator,agf,localname,genus,species,newspecies,dbh,height,canopyd,latitude,longitude,altitude,accuracy,key,genus_species,height_m,genusCorr,speciesCorr,meanWD,sdWD,family,AGB
10:00.2,46:54.4,51:29.2,henry_oindi,cropland_agroforestry,Gum Arabic,acacia,nilotica,no,34,700,600,-3.9214525,39.6683068,26.469,4.849,uuid:d4653027-8842-4359-916b-2a5b557d018a,Acacia nilotica,7,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,319.8835838
09:43.2,44:28.9,46:37.8,henry_oindi,cropland_agroforestry,Gum Arabic,acacia,nilotica,no,23,120,80,-3.9215587,39.6682882,30.027,1.103,uuid:605d2a43-38f2-4d8f-ad1b-be19ae8cfb06,Acacia nilotica,1.2,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,26.67491547
08:29.2,35:14.1,37:06.2,henry_oindi,cropland_agroforestry,Acacia,acacia,nilotica,no,22,380,400,-3.9483129,39.685521,-0.907,1.224,uuid:9f81666b-7853-4f2f-834e-e6503247f947,Acacia nilotica,3.8,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,75.33681976
12:40.8,01:25.5,04:42.7,david_makori,natural_forest_agroforestry,Acacia,acacia,mellifera,no,22,620,480,-3.097127,39.6503526,12.906,1.236,uuid:6c1039e6-00c7-40ab-bd5a-8727233990b5,Acacia mellifera,6.2,Acacia,mellifera,0.947,0.070823262,Fabaceae,158.0214366
12:06.7,48:54.1,50:26.7,david_makori,pasture_agroforestry,Acacia,acacia,tortilis,no,18,280,240,-3.1402566,39.5597205,114.625,2.602,uuid:6cf73597-a6f1-4d88-89f9-1539b0669326,Acacia tortilis,2.8,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,41.08204516
12:03.3,46:46.7,48:50.9,david_makori,natural_forest_agroforestry,Acacia,acacia,mellifera,no,28,580,490,-3.1402568,39.5597209,114.591,0.802,uuid:6c6cded0-fa1b-4e24-90da-e40daf7bacb6,Acacia mellifera,5.8,Acacia,mellifera,0.947,0.070823262,Fabaceae,237.077775
11:53.4,33:08.2,35:07.0,david_makori,natural_forest_agroforestry,Acacia,acacia,mellifera,no,29,360,290,-3.140629,39.559892,120.492,0.82,uuid:056613e1-3471-4095-b224-92a1cfae5466,Acacia mellifera,3.6,Acacia,mellifera,0.947,0.070823262,Fabaceae,159.3987005
52:14.5,42:17.5,43:48.6,juliet_onditi,natural_forest_agroforestry,Acacia,acacia,mellifera,no,10,220,8,-3.1402302,39.5597786,136.288,1.789,uuid:4f2a4a38-fc34-44e6-aa59-56b0e648654b,Acacia mellifera,2.2,Acacia,mellifera,0.947,0.070823262,Fabaceae,12.33494394
51:18.2,35:56.4,37:39.1,juliet_onditi,natural_forest_agroforestry,Acacia,acacia,mellifera,no,4,165,4,-3.1401869,39.5596718,125.831,0.843,uuid:4c3794ce-09d5-468f-be26-74c5194b0c77,Acacia mellifera,1.65,Acacia,mellifera,0.947,0.070823262,Fabaceae,1.557464213
51:09.7,31:49.0,35:07.2,juliet_onditi,natural_forest_agroforestry,Acacia,acacia,mellifera,no,10,220,15,-3.1401804,39.5596578,103.166,1.053,uuid:569d181a-3559-4aa6-8796-fb27ca7e5b6e,Acacia mellifera,2.2,Acacia,mellifera,0.947,0.070823262,Fabaceae,12.33494394
47:26.8,43:40.1,45:33.9,sarah_mwangi,natural_forest_agroforestry,Acacia,acacia,mellifera,no,40,280,330,-3.1407219,39.5594463,113.756,1.47,uuid:18576520-a7eb-4738-8297-475783d2adc6,Acacia mellifera,2.8,Acacia,mellifera,0.947,0.070823262,Fabaceae,233.6576397
46:48.4,30:37.9,32:50.7,sarah_mwangi,natural_forest_agroforestry,Acacia,acacia,mellifera,no,60,350,350,-3.1406844,39.5596608,116.093,1.441,uuid:38210173-4551-4dfe-818f-dfac23585d50,Acacia mellifera,3.5,Acacia,mellifera,0.947,0.070823262,Fabaceae,641.0535297
46:39.4,23:35.5,27:09.8,sarah_mwangi,natural_forest_agroforestry,Acacia,acacia,mellifera,no,40,430,350,-3.1406783,39.5596585,116.033,1.435,uuid:16b71bd1-3490-407c-bc6b-b4d99fd93355,Acacia mellifera,4.3,Acacia,mellifera,0.947,0.070823262,Fabaceae,355.1558392
46:29.7,07:20.8,04:11.8,sarah_mwangi,natural_forest_agroforestry,Acacia,acacia,mellifera,no,55,450,430,-3.168574,39.6511855,133.275,2.552,uuid:8cd292b5-b40f-45f8-b21d-4ee6d0dbd24c,Acacia mellifera,4.5,Acacia,mellifera,0.947,0.070823262,Fabaceae,691.2832391
15:41.9,43:30.1,44:59.2,david_makori,natural_forest_agroforestry,Acacia,acacia,tortilis,no,35,420,310,-1.5588825,39.2566121,203.351,1.631,uuid:c173bf5f-b4c8-42ff-96fe-514a63b3eba4,Acacia tortilis,4.2,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,223.4837845
15:18.4,22:22.1,24:34.3,david_makori,natural_forest_agroforestry,Acacia,acacia,nilotica,no,12,260,420,-1.5582842,39.2570199,194.984,1.64,uuid:a35092c8-dac5-4478-bdb9-deacecab0e18,Acacia nilotica,2.6,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,15.93328042
15:00.6,16:46.7,18:38.2,david_makori,natural_forest_agroforestry,Acacia,acacia,mellifera,no,24,260,240,-1.5582173,39.2570442,182.201,3.882,uuid:92b654ca-03a9-436c-b53e-59307726a135,Acacia mellifera,2.6,Acacia,mellifera,0.947,0.070823262,Fabaceae,80.18977135
14:53.3,14:52.4,16:39.1,david_makori,natural_forest_agroforestry,Acacia,acacia,mellifera,no,22,310,290,-1.5582128,39.2570488,182.198,1.752,uuid:aa3424bb-b22a-46da-b292-6506ef409f51,Acacia mellifera,3.1,Acacia,mellifera,0.947,0.070823262,Fabaceae,80.33609727
14:26.0,19:31.4,21:14.5,david_makori,natural_forest_agroforestry,Acacia,acacia,tortilis,no,39,410,320,-1.4789709,39.6845911,100.314,1.134,uuid:9fdb81d4-cccc-40b1-a65e-078d16c6ad7d,Acacia tortilis,4.1,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,269.6305168
14:22.6,16:22.0,17:38.6,david_makori,natural_forest_agroforestry,Acacia,acacia,tortilis,no,18,210,180,-1.4791932,39.684426,103.795,0.751,uuid:d30c0ac7-944a-4dc2-b9f3-f0383edd8a99,Acacia tortilis,2.1,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,31.02500418
38:55.7,31:52.2,33:27.0,sarah_mwangi,natural_forest_agroforestry,Umbrella acacia,acacia,tortilis,no,40,380,330,-1.558175,39.2568822,223.418,3.9,uuid:91f6488b-574a-4d89-a450-909ecae62d35,Acacia tortilis,3.8,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,263.041202
36:19.0,33:32.2,35:25.3,sarah_mwangi,natural_forest_agroforestry,Umbrella acacia,acacia,tortilis,no,80,350,530,-1.5581114,39.2569573,223.216,3.9,uuid:fa939700-83ad-4d0c-af6c-ef04fe54ed2f,Acacia tortilis,3.5,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,939.2386442
35:47.6,34:15.2,36:35.3,juliet_onditi,natural_forest_agroforestry,Acacia,acacia,tortilis,no,35,450,20,-1.5579626,39.2561206,240.793,3.509,uuid:32a17bc3-230f-40e9-b51f-4289094d5dd8,Acacia tortilis,4.5,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,239.0507569
35:44.5,30:32.7,32:31.3,juliet_onditi,natural_forest_agroforestry,Acacia,acacia,tortilis,no,8,250,8,-1.5578354,39.2566578,161.363,2.305,uuid:75f8e753-3578-4a95-8a8b-c376a37e15b1,Acacia tortilis,2.5,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,7.553617515
35:42.0,26:37.7,28:15.9,juliet_onditi,natural_forest_agroforestry,Acacia,acacia,tortilis,no,10,380,6,-1.5577259,39.2566779,215.214,3.229,uuid:cf2bd1b9-ec57-473e-bcbd-912b14f95e0d,Acacia tortilis,3.8,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,17.57125079
35:39.3,24:57.0,26:34.8,juliet_onditi,natural_forest_agroforestry,Acacia,acacia,tortilis,no,8,220,7,-1.5577768,39.2565574,198.22,3.074,uuid:d7dc97a6-4327-416f-a72c-3bd3d7c6f771,Acacia tortilis,2.2,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,6.667608294
35:35.6,22:50.7,24:51.4,juliet_onditi,natural_forest_agroforestry,Acacia,acacia,tortilis,no,30,420,25,-1.5576782,39.2563389,187.045,2.243,uuid:100f940b-0167-4d3e-85f6-2f83afcd7c8b,Acacia tortilis,4.2,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,165.41157
35:32.4,20:23.0,22:46.7,juliet_onditi,natural_forest_agroforestry,Acacia,acacia,tortilis,no,30,420,15,-1.5575821,39.2566181,164.668,2.202,uuid:b3d264ac-a7d9-47c4-b29a-05adc6fc420d,Acacia tortilis,4.2,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,165.41157
35:29.9,16:40.1,19:53.1,juliet_onditi,natural_forest_agroforestry,Acacia,acacia,tortilis,no,4,200,6,-1.5577716,39.2567559,193.467,2.15,uuid:fd6ffe80-7693-477b-88d8-cf873aaaf04a,Acacia tortilis,2,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,1.570219137
35:24.3,18:43.9,39:17.2,juliet_onditi,natural_forest_agroforestry,Acacia,acacia,tortilis,no,8,320,13,-1.4796025,39.6851778,93.351,2.017,uuid:8c26e77c-7127-4d28-aaae-3f5ce8748fa4,Acacia tortilis,3.2,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,9.611516604
35:07.9,30:08.3,31:35.7,sarah_mwangi,natural_forest_agroforestry,Umbrella acacia,acacia,tortilis,no,45,450,430,-1.5581712,39.2568863,223.452,3.9,uuid:923d5f97-52f1-4787-bfb1-279d9c253108,Acacia tortilis,4.5,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,390.427255
34:56.0,28:24.3,30:05.8,sarah_mwangi,natural_forest_agroforestry,Umbrella acacia,acacia,tortilis,no,50,350,300,-1.5581674,39.2568897,223.66,3.9,uuid:9c6b7b7a-65ab-4a39-9618-ac9a74f9b66a,Acacia tortilis,3.5,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,375.2612724
34:33.9,26:23.9,28:15.8,sarah_mwangi,natural_forest_agroforestry,Umbrella acacia,acacia,tortilis,no,65,650,600,-1.5581643,39.2568925,223.886,3.9,uuid:f87b8d77-4666-4a4f-9104-8bcbe6a98111,Acacia tortilis,6.5,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,1145.89334
33:35.2,21:01.1,22:17.6,sarah_mwangi,natural_forest_agroforestry,Umbrella acacia,acacia,tortilis,no,60,230,150,-1.5581242,39.2569425,222.561,3.9,uuid:aadcf7f7-3f72-48ee-9950-95d6d36625ac,Acacia tortilis,2.3,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,355.5752268
33:11.1,16:14.0,17:51.1,sarah_mwangi,natural_forest_agroforestry,Umbrella acacia,acacia,tortilis,no,40,130,180,-1.5581043,39.2571519,206.465,3.9,uuid:52744eae-2ced-44ec-a9fc-bdb1700c079d,Acacia tortilis,1.3,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,92.33443626
32:49.5,59:38.8,00:38.4,henry_oindi,natural_forest_agroforestry,Acacia,acacia,mellifera,no,42,800,540,-1.5937236,39.1175593,244.942,3.9,uuid:dd560852-aa8f-4df9-8747-cb6aa5ace9d5,Acacia mellifera,8,Acacia,mellifera,0.947,0.070823262,Fabaceae,716.0297812
31:34.2,47:34.8,48:57.8,henry_oindi,natural_forest_agroforestry,Acacia,acacia,mellifera,no,42,730,380,-1.5935916,39.1174116,238.25,3.9,uuid:94ce7803-1c56-4898-9435-c258b16b3c89,Acacia mellifera,7.3,Acacia,mellifera,0.947,0.070823262,Fabaceae,654.8146242
30:56.8,17:09.2,20:13.9,sarah_mwangi,natural_forest_agroforestry,Umbrella acacia,acacia,tortilis,no,40,230,150,-1.4790641,39.6846602,101.254,3.9,uuid:fd974c49-f84e-438d-93a3-e1cc796eaca2,Acacia tortilis,2.3,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,161.1392575
30:40.8,11:10.4,15:53.1,sarah_mwangi,natural_forest_agroforestry,Umbrella acacia.,acacia,tortilis,no,50,400,400,-1.4792305,39.6845667,104.004,3.9,uuid:1fd8bfe2-0694-4103-a0e3-8de496fd1bf5,Acacia tortilis,4,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,427.4978029
30:01.3,58:45.7,00:43.6,sarah_mwangi,natural_forest_agroforestry,Umbrella acacia,acacia,tortilis,no,100,800,900,-1.4796614,39.6848831,101.495,3.9,uuid:3b0df779-675b-4d10-a28e-bcf91f704b62,Acacia tortilis,8,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,3253.491784
29:47.1,53:33.6,55:31.0,sarah_mwangi,natural_forest_agroforestry,Umbrella acacia,acacia,tortilis,no,80,850,700,-1.4796534,39.6849262,103.672,3.9,uuid:f2781bb1-2ef3-4977-b201-9976957fd9e3,Acacia tortilis,8.5,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,2232.94699
29:21.9,49:45.1,53:31.1,sarah_mwangi,natural_forest_agroforestry,Umbrella acacia,acacia,tortilis,no,60,600,600,-1.4796856,39.6849644,64.751,3.9,uuid:81fef719-5fd7-4dc9-810b-8e0669192144,Acacia tortilis,6,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,906.4852633
18:00.1,14:29.5,16:18.2,david_makori,natural_forest_agroforestry,Acacia,acacia,tortilis,no,28,360,280,-1.4792051,39.6844169,103.771,0.895,uuid:a1aed546-8e49-44ed-a3c1-805f533194a2,Acacia tortilis,3.6,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,124.376292
00:41.3,57:05.1,00:18.6,david_makori,natural_forest_agroforestry,Acacia,acacia,tortilis,no,110,1250,1210,-1.4795437,39.6848078,91.235,0.868,uuid:b29c0092-acc9-4c9d-9cf7-a6f45396be32,Acacia tortilis,12.5,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,6057.82302
28:45.5,53:56.5,56:04.6,henry_oindi,cropland_agroforestry,Umbrella acacia,acacia,tortilis,no,170,1900,800,1.2154944,34.7376804,2071.7,4.76,uuid:1a33d3c5-6833-492c-98f8-69e797911bd0,Acacia tortilis,19,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,21322.28265
28:20.0,51:18.8,54:44.5,henry_oindi,pasture_agroforestry,Gum Arabic,acacia,nilotica,no,18,400,300,1.1406272,34.8333809,1906.6,4.7,uuid:8a83dd01-2800-4875-bd24-0f282b0a7ee0,Acacia nilotica,4,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,53.53427202
24:01.0,07:38.9,23:47.7,sarah_mwangi,homestead_agroforestry,Acacia,acacia,tortilis,no,45,630,550,1.1484539,35.1238702,1861.5,4.82,uuid:91177fb4-f679-441f-b97b-810d8cdc780e,Acacia tortilis,6.3,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,542.2019688
23:58.3,00:42.5,10:25.0,sarah_mwangi,cropland_agroforestry,Umbrella acacia,acacia,tortilis,no,90,1500,950,1.2151849,34.7374496,2050.7,4.9,uuid:5c9537ce-99a9-4aa7-aa27-c47578c06df1,Acacia tortilis,15,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,4891.93113
17:04.6,36:05.6,39:16.4,sarah_mwangi,pasture_agroforestry,Umbrella acacia,acacia,tortilis,no,65,530,500,-0.0797686,34.9762376,1177.2,5,uuid:c5aba301-4ce7-498f-b310-51efa3d7d5ef,Acacia tortilis,5.3,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,938.9317132
16:50.8,43:14.0,44:57.2,sarah_mwangi,pasture_agroforestry,Umbrella acacia,acacia,tortilis,no,35,530,300,-0.0963074,34.8423974,1138.3,4.8,uuid:eee31772-3d02-470d-96ff-dc00df2b0588,Acacia tortilis,5.3,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,280.4451659
16:48.2,38:35.4,40:42.4,sarah_mwangi,pasture_agroforestry,Umbrella acacia,acacia,tortilis,no,35,430,250,-0.0965719,34.8425905,1138.4,4.74,uuid:acaaadb4-cae3-4cf5-a6b9-1ecacf68e916,Acacia tortilis,4.3,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,228.67565
16:43.4,34:17.9,36:01.0,sarah_mwangi,pasture_agroforestry,Umbrella acacia,acacia,tortilis,no,45,580,200,-0.0966608,34.8425397,1139.2,4.82,uuid:09fa8bc7-3bd8-4ce8-a880-21c231b565f2,Acacia tortilis,5.8,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,500.1617037
16:42.3,32:29.8,34:11.4,sarah_mwangi,pasture_agroforestry,Umbrella acacia,acacia,tortilis,no,15,500,250,-0.0966726,34.8424012,1139.2,4.9,uuid:8e71754a-cced-465f-950d-6b464f810ee7,Acacia tortilis,5,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,50.68258402
16:41.2,31:03.4,32:26.2,sarah_mwangi,pasture_agroforestry,Umbrella acacia,acacia,tortilis,no,35,450,330,-0.0968608,34.8426558,1138.8,4.68,uuid:59a805eb-d968-406c-9e25-02cafef29501,Acacia tortilis,4.5,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,239.0507569
16:39.7,28:50.5,31:00.0,sarah_mwangi,pasture_agroforestry,Umbrella acacia,acacia,tortilis,no,30,450,200,-0.0969702,34.8426958,1138.9,5,uuid:656312f9-c99c-4811-a079-f8de3608f5c7,Acacia tortilis,4.5,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,176.9334679
16:38.4,26:39.8,28:47.8,sarah_mwangi,pasture_agroforestry,Whistling thorn,acacia,drepanolobium,no,70,650,700,-0.0970672,34.8424443,1138.9,4.8,uuid:1321146d-1244-409e-9002-afa50c8275c4,Acacia drepanolobium,6.5,Acacia,drepanolobium,0.78783128,0.09413391,Fabaceae,1324.246084
16:35.4,22:26.1,24:52.9,sarah_mwangi,pasture_agroforestry,Umbrella acacia,acacia,tortilis,no,50,530,330,-0.097165,34.8425105,1139.9,4.883,uuid:d03dd4df-1739-4321-a013-4a75692c3fb1,Acacia tortilis,5.3,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,562.6218368
16:02.4,04:29.7,05:50.6,henry_oindi,pasture_agroforestry,Acacia,acacia,nilotica,no,28,620,350,-0.1572239,34.971829,1117.5,4.62,uuid:9fc0d2c5-3ab2-4b26-bf0d-57a3cf727b0a,Acacia nilotica,6.2,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,194.5163833
15:26.5,07:45.3,09:57.1,david_makori,pasture_agroforestry,Acacia,acacia,drepanolobium,no,20,350,250,-0.1572599,34.9726737,1153.8,4.34,uuid:263471bc-5946-4921-ae91-fccd993511ab,Acacia drepanolobium,3.5,Acacia,drepanolobium,0.78783128,0.09413391,Fabaceae,62.74149313
15:17.7,40:33.0,43:17.6,henry_oindi,pasture_agroforestry,Umbrella acacia,acacia,tortilis,no,32,640,320,-0.0965632,34.8424866,1175.9,4.72,uuid:a5013937-d3d8-436a-afbb-c66af5c3ed3d,Acacia tortilis,6.4,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,283.0207642
15:14.3,37:10.6,38:53.1,henry_oindi,pasture_agroforestry,Umbrella acacia,acacia,tortilis,no,22,600,260,-0.0966236,34.8423219,1175.9,4.58,uuid:1ae72d06-be31-4817-9a01-44a6b2b7287d,Acacia tortilis,6,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,127.8846975
15:13.3,34:45.0,36:24.8,henry_oindi,pasture_agroforestry,Umbrella acacia,acacia,tortilis,no,26,680,350,-0.0967542,34.8422645,1176.2,4.74,uuid:c6f98565-4f53-4c0f-b6ed-6861734fd673,Acacia tortilis,6.8,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,200.2122107
15:12.0,33:04.3,34:30.9,henry_oindi,pasture_agroforestry,Umbrella acacia,acacia,tortilis,no,30,490,200,-0.0966966,34.8422359,1176.5,4.76,uuid:a9a590c8-1e97-4221-ab44-ccf0b2a4b4da,Acacia tortilis,4.9,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,192.2675315
15:10.6,28:35.7,29:54.0,henry_oindi,pasture_agroforestry,Umbrella acacia,acacia,tortilis,no,28,500,180,-0.096633,34.8422884,1176.5,4.95,uuid:57696db6-3779-4c7c-8030-d167c1a7eb02,Acacia tortilis,5,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,171.3882674
15:08.8,27:02.3,28:32.6,henry_oindi,pasture_agroforestry,Umbrella acacia,acacia,tortilis,no,24,600,220,-0.0965634,34.8422754,1176.6,4.58,uuid:540ddec8-7389-46d8-a99e-50457ba3d85c,Acacia tortilis,6,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,151.5590419
