FID,start,Enumerator,Type_of_ag,Polygon_No,Transects,plant_name,plant_na_1,plant_na_2,is_it_new_,plant_DBH,plant_me_Height,plant_me_Canopy,photo_Whol,photo_Cano,photo_Flow,photo_Frui,photo_Trun,external_g,gps_Latitu,gps_Longit,gps_Altitu,gps_Accura,comments,meta_insta,SubmitterI,SubmitterN,Attachment
6073,2024-10-12T11:52:24.781+03:00,sarah_mwangi,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,45,400,400,1728723181969.jpg,1728723189431.jpg,1728723198015.jpg,1728723203620.jpg,1728723213260.jpg, ,-1.1071136,35.8941485,1925.1,4.56, ,uuid:2365ea3a-aa19-42f1-b49a-1030df859028,616,Lacuna Data Collectors,5
6100,2024-10-12T11:56:39.166+03:00,henry_oindi,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,40,640,400,1728723434824.jpg,1728723442891.jpg,1728723451903.jpg,1728723481305.jpg,1728723494291.jpg, ,-1.1068377,35.8935086,1918.5,4.52, ,uuid:cc4f3ea9-ea71-42ae-b57a-8d70ccdb0792,616,Lacuna Data Collectors,5
6116,2024-10-10T17:50:57.643+03:00,henry_oindi,natural_forest_agroforestry,169,2,Acacia,Acacia,tortilis,no,60,800,350,1728571932307.jpg,1728571940228.jpg,1728571963255.jpg,1728572017388.jpg,1728572029469.jpg, ,-0.9170027,35.1089154,1789.7,4.74, ,uuid:6e9471b7-1fc8-4548-9676-d959d85a0a46,616,Lacuna Data Collectors,5
6099,2024-10-12T12:01:02.458+03:00,sarah_mwangi,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,50,350,350,1728723696972.jpg,1728723704081.jpg,1728723714801.jpg,1728723720833.jpg,1728723726311.jpg, ,-1.106895,35.8943683,1924.7,4.4, ,uuid:fc208e39-3c11-40fb-aad4-898b00cff624,616,Lacuna Data Collectors,5
6074,2024-10-12T11:53:46.880+03:00,david_makori,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,25,250,350,1728723298114.jpg,1728723306751.jpg,1728723315477.jpg,1728723326810.jpg,1728723347647.jpg, ,-1.1068207,35.893873,1942.5,4.72, ,uuid:8a74f9e0-ba61-4831-80b9-edf4cb2e281d,616,Lacuna Data Collectors,5
6093,2024-10-12T12:12:01.384+03:00,sarah_mwangi,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,40,220,330,1728724348305.jpg,1728724354384.jpg,1728724362532.jpg,1728724367711.jpg,1728724375543.jpg, ,-1.1059399,35.8937633,1923.4,4.98, ,uuid:c2e190d5-733d-4602-b5f5-e6fe0b0158a6,616,Lacuna Data Collectors,5
6070,2024-10-12T14:00:27.503+03:00,sarah_mwangi,natural_forest_agroforestry,163,1,Acacia,Acacia,drepanolobium,no,25,300,330,1728730861829.jpg,1728730868622.jpg,1728730876447.jpg,1728730882587.jpg,1728730890586.jpg, ,-1.1679167,35.9625933,1790.6,4.2, ,uuid:1c99f52d-6093-4ad1-bb62-437e3973c8cb,616,Lacuna Data Collectors,5
6114,2024-10-10T17:57:34.467+03:00,henry_oindi,natural_forest_agroforestry,169,2,Acacia,Acacia,tortilis,no,60,800,320,1728572317286.jpg,1728572323201.jpg,1728572329255.jpg,1728572336532.jpg,1728572346564.jpg, ,-0.9170192,35.1091444,1790,4.84, ,uuid:6e4d2c97-9061-43da-ba13-8389c0bbab51,616,Lacuna Data Collectors,5
6108,2024-10-12T15:50:32.676+03:00,david_makori,natural_forest_agroforestry,162,1,Acacia,Acacia,tortilis,no,25,220,320,1728737484976.jpg,1728737493899.jpg,1728737502865.jpg,1728737508978.jpg,1728737516689.jpg, ,-1.282999,35.9740508,1756.7,4.916, ,uuid:aafa19cc-1fb2-4e34-aa6e-1d9dff71279c,616,Lacuna Data Collectors,5
1109,2024-08-26T12:41:24.797+03:00,judy_akinyi,cropland_agroforestry,134,4,Acacia,Acacia,etbaica,no,70,1000,300,1724665361703.jpg,1724665375219.jpg,1724665391545.jpg,1724665408308.jpg,1724665418932.jpg, ,-0.0160079,37.7828256,1060.3,4.95, ,uuid:936255f0-9eba-4c38-b1c5-2283b66b8594,616,Lacuna Data Collectors,5
6113,2024-10-10T18:02:25.429+03:00,henry_oindi,natural_forest_agroforestry,169,2,Acacia,Acacia,tortilis,no,62,900,300,1728572577499.jpg,1728572582703.jpg,1728572587587.jpg,1728572594517.jpg,1728572598742.jpg, ,-0.916995,35.1092996,1789.8,4.78, ,uuid:25284e31-584d-40fe-819a-4eebf74e5f98,616,Lacuna Data Collectors,5
6115,2024-10-10T17:54:25.683+03:00,henry_oindi,natural_forest_agroforestry,169,2,Acacia,Acacia,tortilis,no,46,750,300,1728572129938.jpg,1728572136223.jpg,1728572143050.jpg,1728572153980.jpg,1728572164242.jpg, ,-0.916887,35.1090857,1789.7,4.84, ,uuid:db827cda-dcf7-4ef6-87c4-692efeb5f6f4,616,Lacuna Data Collectors,5
6081,2024-10-12T15:40:35.599+03:00,sarah_mwangi,natural_forest_agroforestry,162,1,Acacia,Acacia,nilotica,no,30,350,300,1728736976535.jpg,1728736982146.jpg,1728736988768.jpg,1728736995212.jpg,1728737001609.jpg, ,-1.2827444,35.9737593,1744.2,4.9, ,uuid:ee5d98e7-5f9b-4a56-b150-fe06eb7626c8,616,Lacuna Data Collectors,5
6078,2024-10-12T15:46:00.421+03:00,sarah_mwangi,natural_forest_agroforestry,162,1,Acacia,Acacia,nilotica,no,30,250,300,1728737250965.jpg,1728737257044.jpg,1728737266692.jpg,1728737275268.jpg,1728737280971.jpg, ,-1.2828656,35.9738184,1744.3,4.96, ,uuid:681d2acc-98cd-4bbf-add7-8e9c0c39c329,616,Lacuna Data Collectors,5
6079,2024-10-12T15:29:29.499+03:00,juliet_onditi,natural_forest_agroforestry,162,1,Acacia,Acacia,nilotica,no,6,230,300,1728736208611.jpg,1728736215284.jpg,1728736221406.jpg,1728736227046.jpg,1728736231800.jpg, ,-1.2828748,35.973511,1724.5,4.94, ,uuid:386a82f6-bb1b-4999-8a7e-e5bd26e0ff35,616,Lacuna Data Collectors,5
6111,2024-10-11T11:53:21.491+03:00,juliet_onditi,cropland_agroforestry,168,1,Acacia,Acacia,tortilis,no,60,500,250,1728636848832.jpg,1728636867126.jpg,1728636873870.jpg,1728636880557.jpg,1728636887048.jpg, ,-0.856987,35.4051347,1918.6,4.04, ,uuid:a8f93dd2-31ac-4eb6-95a2-c8479fbaa4da,616,Lacuna Data Collectors,5
6110,2024-10-11T11:55:37.751+03:00,juliet_onditi,cropland_agroforestry,168,1,Acacia,Acacia,tortilis,no,50,500,250,1728636997513.jpg,1728637004729.jpg,1728637012363.jpg,1728637023256.jpg,1728637030485.jpg, ,-0.8571169,35.4050383,1918.7,4.52, ,uuid:da067c33-f62f-4a47-b349-25e62fc89807,616,Lacuna Data Collectors,5
1106,2024-08-24T12:42:04.563+03:00,sarah_mwangi,pasture_agroforestry,127,4,Acacia,Acacia,fernesiana,no,35,220,250,1724492568416.jpg,1724492577709.jpg,1724492622543.jpg,1724492634223.jpg,1724492652399.jpg, ,0.1436635,37.4846241,1952.5,4.15, ,uuid:eddec7a8-0b27-4a8b-a1e7-1c7b608ad029,616,Lacuna Data Collectors,5
6095,2024-10-12T12:08:52.314+03:00,sarah_mwangi,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,40,230,230,1728724169831.jpg,1728724176425.jpg,1728724185049.jpg,1728724190367.jpg,1728724196022.jpg, ,-1.1058516,35.8939049,1923.2,4.94, ,uuid:92d9a3dc-9400-4038-b100-55e26d0c5b06,616,Lacuna Data Collectors,5
6104,2024-10-12T11:56:24.498+03:00,sarah_mwangi,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,40,220,230,1728723431281.jpg,1728723438689.jpg,1728723445146.jpg,1728723453152.jpg,1728723458618.jpg, ,-1.1072233,35.89425,1925.1,5, ,uuid:ee93257a-3fa2-4079-8dd1-7a4f5bc009b1,616,Lacuna Data Collectors,5
6103,2024-10-12T11:52:38.837+03:00,henry_oindi,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,24,520,230,1728723211028.jpg,1728723220130.jpg,1728723230142.jpg,1728723236672.jpg,1728723242035.jpg, ,-1.1068717,35.893545,1920.9,4, ,uuid:82ded00d-91e9-43de-ad77-c9376ed9a97a,616,Lacuna Data Collectors,5
6097,2024-10-12T12:05:18.636+03:00,sarah_mwangi,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,35,250,220,1728723960534.jpg,1728723968141.jpg,1728723977818.jpg,1728723983538.jpg,1728723988976.jpg, ,-1.1060904,35.8940999,1923.7,4.76, ,uuid:56cc2320-5e81-48b3-9b2b-95d5ab63c359,616,Lacuna Data Collectors,5
6094,2024-10-12T12:02:19.836+03:00,henry_oindi,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,21,350,220,1728723779437.jpg,1728723785385.jpg,1728723793003.jpg,1728723798748.jpg,1728723815099.jpg, ,-1.10668,35.8935067,1917.3,4.3, ,uuid:3f681e4e-5444-4358-80df-229cfb5fb2da,616,Lacuna Data Collectors,5
6098,2024-10-12T12:02:47.274+03:00,sarah_mwangi,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,40,250,200,1728723862670.jpg,1728723870880.jpg,1728723880891.jpg,1728723885996.jpg,1728723891890.jpg, ,-1.1062732,35.8942293,1923.6,4.95, ,uuid:529125e4-8c6b-4ccc-9210-1f5797f7d1d7,616,Lacuna Data Collectors,5
6102,2024-10-12T11:57:59.012+03:00,sarah_mwangi,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,30,220,200,1728723512984.jpg,1728723520263.jpg,1728723527975.jpg,1728723533330.jpg,1728723538179.jpg, ,-1.1071307,35.8944133,1925.1,4.9, ,uuid:2058850f-6a62-474b-8f64-8ef01c761cc2,616,Lacuna Data Collectors,5
317,2024-07-20T16:21:00.718+03:00,david_makori,pasture_agroforestry,86,2,Acacia,Acacia,commiphora,no,12,230,150,1721481715161.jpg,1721481731023.jpg,1721481739045.jpg,1721481746892.jpg,1721481757158.jpg, ,-3.3181943,37.7151838,888.4,4.85, ,uuid:f090a336-4ac5-4b89-93dd-313d5c4d85a9,616,Lacuna Data Collectors,5
1113,2024-08-23T13:39:18.752+03:00,roy_spenser,pasture_agroforestry,115,1,Acacia,Acacia,globium,no,6,300,150,1724409597455.jpg,1724409606239.jpg,1724409617522.jpg,1724409629300.jpg,1724409635498.jpg, ,-0.0800732,36.6313631,2157.5,4.933, ,uuid:45fa8606-3be0-42d4-aac7-879b335d806a,616,Lacuna Data Collectors,5
6082,2024-10-12T14:06:55.789+03:00,juliet_onditi,natural_forest_agroforestry,163,1,Acacia,Acacia,nilotica,no,35,500,120,1728731254405.jpg,1728731260436.jpg,1728731267549.jpg,1728731272818.jpg,1728731277411.jpg, ,-1.1679274,35.9623671,1798.1,4.96, ,uuid:49636d6b-8075-456a-a09d-e175bd7e6c18,616,Lacuna Data Collectors,5
6071,2024-10-12T16:45:58.076+03:00,juliet_onditi,pasture_agroforestry,161,2,Acacia,Acacia,mellifera,no,35,250,120,1728740808373.jpg,1728740815311.jpg,1728740833701.jpg,1728740838861.jpg,1728740846364.jpg, ,-1.3316612,35.9873658,1517.8,4, ,uuid:2ae155f1-6c08-4597-8067-433e5e8149bf,616,Lacuna Data Collectors,5
316,2024-07-20T16:22:56.951+03:00,david_makori,pasture_agroforestry,86,2,Acacia,Acacia,commiphora,no,15,95,120,1721481828725.jpg,1721481835697.jpg,1721481842587.jpg,1721481848836.jpg,1721481855690.jpg, ,-3.3180939,37.7150382,888.5,4.74, ,uuid:65d08ecf-8776-4f66-a1e2-6b2c6e765ffb,616,Lacuna Data Collectors,5
6121,2024-10-10T17:50:40.406+03:00,juliet_onditi,natural_forest_agroforestry,169,2,Acacia,Acacia,tortilis,no,80,600,100,1728571936446.jpg,1728571945498.jpg,1728571950425.jpg,1728571955871.jpg,1728571962148.jpg, ,-0.9168054,35.1086066,1746.6,4.7, ,uuid:630207d8-07fd-43e3-99f1-f556770c2978,616,Lacuna Data Collectors,5
6117,2024-10-10T18:01:52.254+03:00,juliet_onditi,natural_forest_agroforestry,169,2,Acacia,Acacia,tortilis,no,60,400,100,1728572558661.jpg,1728572564854.jpg,1728572570375.jpg,1728572575689.jpg,1728572583839.jpg, ,-0.9166966,35.1093635,1746.1,4.866, ,uuid:8d039cbb-bb0f-4594-bc65-f7f31bab872e,616,Lacuna Data Collectors,5
6119,2024-10-10T17:56:53.100+03:00,juliet_onditi,natural_forest_agroforestry,169,2,Acacia,Acacia,tortilis,no,50,500,100,1728572308982.jpg,1728572316037.jpg,1728572322473.jpg,1728572332064.jpg,1728572337737.jpg, ,-0.9161587,35.109114,1746.3,4.95, ,uuid:526e13da-2ce3-4a2e-a16c-58445132b2c5,616,Lacuna Data Collectors,5
6085,2024-10-12T12:12:27.738+03:00,juliet_onditi,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,40,250,100,1728724378813.jpg,1728724383842.jpg,1728724396371.jpg,1728724401382.jpg,1728724408168.jpg, ,-1.1061543,35.8937081,1926.5,4.9, ,uuid:2b30fd0c-15ea-4361-91fe-ab37ea3355b4,616,Lacuna Data Collectors,5
6084,2024-10-12T12:15:53.461+03:00,juliet_onditi,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,35,300,100,1728724606683.jpg,1728724611647.jpg,1728724616925.jpg,1728724622288.jpg,1728724627506.jpg, ,-1.1059267,35.893565,1926.5,5, ,uuid:2df7107a-3e0d-45dd-bbb4-6cb165d081de,616,Lacuna Data Collectors,5
6107,2024-10-11T11:30:02.584+03:00,juliet_onditi,cropland_agroforestry,168,1,Acacia,Acacia,tortilis,no,20,500,100,1728635464933.jpg,1728635471992.jpg,1728635478252.jpg,1728635484656.jpg,1728635504685.jpg, ,-0.856536,35.4049351,1912.8,4.8, ,uuid:680cd109-e397-4e9e-be5a-0c7bf3b9648a,616,Lacuna Data Collectors,5
6063,2024-10-12T16:42:43.648+03:00,juliet_onditi,pasture_agroforestry,161,2,Acacia,Acacia,mellifera,no,20,210,100,1728740596809.jpg,1728740603285.jpg,1728740611435.jpg,1728740616701.jpg,1728740621862.jpg, ,-1.3317379,35.987292,1518.1,4.12, ,uuid:1250e0e8-0e80-421f-a413-f63fbbd29022,616,Lacuna Data Collectors,5
6080,2024-10-12T15:26:17.654+03:00,juliet_onditi,natural_forest_agroforestry,162,1,Acacia,Acacia,nilotica,no,18,200,100,1728736018850.jpg,1728736024352.jpg,1728736033476.jpg,1728736041376.jpg,1728736049775.jpg, ,-1.2827945,35.9736373,1724.4,4.816, ,uuid:08062b38-357f-4876-9a6a-16eed09f6244,616,Lacuna Data Collectors,5
6075,2024-10-12T16:38:29.365+03:00,juliet_onditi,pasture_agroforestry,161,2,Acacia,Acacia,nilotica,no,15,200,100,1728740338526.jpg,1728740343342.jpg,1728740350137.jpg,1728740355765.jpg,1728740361970.jpg, ,-1.3320546,35.9873698,1518.1,4.54, ,uuid:4acb745d-b36c-4d9b-9060-6df2f38f3715,616,Lacuna Data Collectors,5
6064,2024-10-12T16:33:46.152+03:00,juliet_onditi,pasture_agroforestry,161,2,Acacia,Acacia,mellifera,no,12,500,100,1728740142344.jpg,1728740150217.jpg,1728740159569.jpg,1728740168970.jpg,1728740174870.jpg, ,-1.332244,35.9873816,1518,4.8, ,uuid:6ded9e8a-4ad7-42c1-a22b-5315bd8c58d4,616,Lacuna Data Collectors,5
6069,2024-10-12T14:01:28.893+03:00,juliet_onditi,natural_forest_agroforestry,163,1,Acacia,Acacia,drepanolobium,no,12,300,100,1728730921584.jpg,1728730926652.jpg,1728730966296.jpg,1728730939132.jpg,1728730949970.jpg, ,-1.1678625,35.9625265,1797.6,4.583, ,uuid:3d8e9498-27a4-4ab9-a7f7-8c5488a8ba55,616,Lacuna Data Collectors,5
6072,2024-10-12T11:52:21.352+03:00,juliet_onditi,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,10,240,100,1728723222785.jpg,1728723229308.jpg,1728723238096.jpg,1728723243241.jpg,1728723253939.jpg, ,-1.1070339,35.8936283,1927.3,4.62, ,uuid:a12e0e5d-207e-4bf3-baff-08d960a3d1b6,616,Lacuna Data Collectors,5
6101,2024-10-12T11:54:48.808+03:00,juliet_onditi,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,8,220,100,1728723335276.jpg,1728723340011.jpg,1728723349161.jpg,1728723358770.jpg,1728723380031.jpg, ,-1.1068245,35.8936316,1927.3,4.92, ,uuid:9b93b635-e202-4fb2-abe2-40f6509bbd23,616,Lacuna Data Collectors,5
6120,2024-10-10T17:55:32.020+03:00,juliet_onditi,natural_forest_agroforestry,169,2,Acacia,Acacia,tortilis,no,6,170,100,1728572163736.jpg,1728572169818.jpg,1728572180489.jpg,1728572185646.jpg,1728572190806.jpg, ,-0.9167117,35.10894,1746.4,4.8, ,uuid:0497b99a-3a8b-417c-98e1-1ebed89bed52,616,Lacuna Data Collectors,5
6067,2024-10-12T14:27:45.016+03:00,juliet_onditi,natural_forest_agroforestry,163,1,Acacia,Acacia,drepanolobium,no,5,150,100,1728732509771.jpg,1728732516474.jpg,1728732521641.jpg,1728732527322.jpg,1728732532321.jpg, ,-1.1681595,35.9619236,1797.6,4.98, ,uuid:8249ba0e-b65a-4124-a50d-142390ad8d74,616,Lacuna Data Collectors,5
6087,2024-10-12T12:08:55.284+03:00,juliet_onditi,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,35,300,80,1728724166427.jpg,1728724171390.jpg,1728724176611.jpg,1728724181260.jpg,1728724185989.jpg, ,-1.1062844,35.8935713,1926.7,4.975, ,uuid:8a4f2cc1-c694-4626-91fe-bd75027f8930,616,Lacuna Data Collectors,5
